year,state,state_po,county,office,district,stage,special,candidate,party,writein,candidatevotes
2018,Connecticut,CT,Windham,US Senator,statewide,gen,False,Richard Lion,libertarian,False,413.0
2018,Connecticut,CT,Windham,US Senator,statewide,gen,False,,,True,7.0
2018,Delaware,DE,Kent,US Senator,statewide,gen,False,Demitri G Theodoropoulos,green,False,588.0
2018,Delaware,DE,Kent,US Senator,statewide,gen,False,Nadine M Frost,libertarian,False,670.0
2018,Delaware,DE,Kent,US Senator,statewide,gen,False,Robert B Arlett,republican,False,27210.0
2018,Delaware,DE,Kent,US Senator,statewide,gen,False,Thomas R Carper,democrat,False,31282.0
2018,Delaware,DE,New Castle,US Senator,statewide,gen,False,Demitri G Theodoropoulos,green,False,2864.0
2018,Delaware,DE,New Castle,US Senator,statewide,gen,False,Nadine M Frost,libertarian,False,2494.0
2018,Delaware,DE,New Castle,US Senator,statewide,gen,False,Robert B Arlett,republican,False,59526.0
2018,Delaware,DE,New Castle,US Senator,statewide,gen,False,Thomas R Carper,democrat,False,145428.0
2018,Delaware,DE,Sussex,US Senator,statewide,gen,False,Demitri G Theodoropoulos,green,False,718.0
2018,Delaware,DE,Sussex,US Senator,statewide,gen,False,Nadine M Frost,libertarian,False,746.0
2018,Delaware,DE,Sussex,US Senator,statewide,gen,False,Robert B Arlett,republican,False,50391.0
2018,Delaware,DE,Sussex,US Senator,statewide,gen,False,Thomas R Carper,democrat,False,40675.0
2018,Florida,FL,Alachua,US Senator,statewide,gen,False,Bill Nelson,democrat,False,74493.0
2018,Florida,FL,Alachua,US Senator,statewide,gen,False,Rick Scott,republican,False,40599.0
2018,Florida,FL,Alachua,US Senator,statewide,gen,False,,,True,20.0
2018,Florida,FL,Baker,US Senator,statewide,gen,False,Bill Nelson,democrat,False,1945.0
2018,Florida,FL,Baker,US Senator,statewide,gen,False,Rick Scott,republican,False,8579.0
2018,Florida,FL,Baker,US Senator,statewide,gen,False,,,True,1.0
2018,Florida,FL,Bay,US Senator,statewide,gen,False,Bill Nelson,democrat,False,16723.0
2018,Florida,FL,Bay,US Senator,statewide,gen,False,Rick Scott,republican,False,46681.0
2018,Florida,FL,Bay,US Senator,statewide,gen,False,,,True,7.0
2018,Florida,FL,Bradford,US Senator,statewide,gen,False,Bill Nelson,democrat,False,2879.0
2018,Florida,FL,Bradford,US Senator,statewide,gen,False,Rick Scott,republican,False,7576.0
2018,Florida,FL,Bradford,US Senator,statewide,gen,False,,,True,1.0
2018,Florida,FL,Brevard,US Senator,statewide,gen,False,Bill Nelson,democrat,False,121112.0
2018,Florida,FL,Brevard,US Senator,statewide,gen,False,Rick Scott,republican,False,160305.0
2018,Florida,FL,Brevard,US Senator,statewide,gen,False,,,True,56.0
2018,Florida,FL,Broward,US Senator,statewide,gen,False,Bill Nelson,democrat,False,472239.0
2018,Florida,FL,Broward,US Senator,statewide,gen,False,Rick Scott,republican,False,211397.0
2018,Florida,FL,Broward,US Senator,statewide,gen,False,,,True,0.0
2018,Florida,FL,Calhoun,US Senator,statewide,gen,False,Bill Nelson,democrat,False,1033.0
2018,Florida,FL,Calhoun,US Senator,statewide,gen,False,Rick Scott,republican,False,3586.0
2018,Florida,FL,Calhoun,US Senator,statewide,gen,False,,,True,0.0
2018,Florida,FL,Charlotte,US Senator,statewide,gen,False,Bill Nelson,democrat,False,33525.0
2018,Florida,FL,Charlotte,US Senator,statewide,gen,False,Rick Scott,republican,False,52916.0
2018,Florida,FL,Charlotte,US Senator,statewide,gen,False,,,True,16.0
2018,Florida,FL,Citrus,US Senator,statewide,gen,False,Bill Nelson,democrat,False,22660.0
2018,Florida,FL,Citrus,US Senator,statewide,gen,False,Rick Scott,republican,False,48008.0
2018,Florida,FL,Citrus,US Senator,statewide,gen,False,,,True,15.0
2018,Florida,FL,Clay,US Senator,statewide,gen,False,Bill Nelson,democrat,False,27718.0
2018,Florida,FL,Clay,US Senator,statewide,gen,False,Rick Scott,republican,False,65639.0
2018,Florida,FL,Clay,US Senator,statewide,gen,False,,,True,11.0
2018,Florida,FL,Collier,US Senator,statewide,gen,False,Bill Nelson,democrat,False,54390.0
2018,Florida,FL,Collier,US Senator,statewide,gen,False,Rick Scott,republican,False,101266.0
2018,Florida,FL,Collier,US Senator,statewide,gen,False,,,True,6.0
2018,Florida,FL,Columbia,US Senator,statewide,gen,False,Bill Nelson,democrat,False,7505.0
2018,Florida,FL,Columbia,US Senator,statewide,gen,False,Rick Scott,republican,False,17234.0
2018,Florida,FL,Columbia,US Senator,statewide,gen,False,,,True,6.0
2018,Florida,FL,Desoto,US Senator,statewide,gen,False,Bill Nelson,democrat,False,3328.0
2018,Florida,FL,Desoto,US Senator,statewide,gen,False,Rick Scott,republican,False,5503.0
2018,Florida,FL,Desoto,US Senator,statewide,gen,False,,,True,0.0
2018,Florida,FL,Dixie,US Senator,statewide,gen,False,Bill Nelson,democrat,False,1322.0
2018,Florida,FL,Dixie,US Senator,statewide,gen,False,Rick Scott,republican,False,4442.0
2018,Florida,FL,Dixie,US Senator,statewide,gen,False,,,True,0.0
2018,Florida,FL,Duval,US Senator,statewide,gen,False,Bill Nelson,democrat,False,192381.0
2018,Florida,FL,Duval,US Senator,statewide,gen,False,Rick Scott,republican,False,185904.0
2018,Florida,FL,Duval,US Senator,statewide,gen,False,,,True,45.0
2018,Florida,FL,Escambia,US Senator,statewide,gen,False,Bill Nelson,democrat,False,52891.0
2018,Florida,FL,Escambia,US Senator,statewide,gen,False,Rick Scott,republican,False,75947.0
2018,Florida,FL,Escambia,US Senator,statewide,gen,False,,,True,17.0
2018,Florida,FL,Flagler,US Senator,statewide,gen,False,Bill Nelson,democrat,False,21419.0
2018,Florida,FL,Flagler,US Senator,statewide,gen,False,Rick Scott,republican,False,31467.0
2018,Florida,FL,Flagler,US Senator,statewide,gen,False,,,True,11.0
2018,Florida,FL,Franklin,US Senator,statewide,gen,False,Bill Nelson,democrat,False,2011.0
2018,Florida,FL,Franklin,US Senator,statewide,gen,False,Rick Scott,republican,False,3404.0
2018,Florida,FL,Franklin,US Senator,statewide,gen,False,,,True,0.0
2018,Florida,FL,Gadsden,US Senator,statewide,gen,False,Bill Nelson,democrat,False,13945.0
2018,Florida,FL,Gadsden,US Senator,statewide,gen,False,Rick Scott,republican,False,6051.0
